=== SCHEDULER RUN RESULTS ===
Somativa ID: 1 | Somativa 1 - 2026

--- WARNINGS (AVISOS) ---

--- CONFLICTS (CONFLITOS) ---

--- PROPOSED GRADE (ALOCAÇÕES) ---
Date: 2026-07-13 | Slot: Primeiro horário | Turma: Primeira Série | Disc: MATEMÁTICA - 1ª SÉRIE (8FG.170)
Date: 2026-07-13 | Slot: Primeiro horário | Turma: Primeira Série | Disc: MATEMÁTICA - 1ª SÉRIE (8FG.170)
Date: 2026-07-13 | Slot: Primeiro horário | Turma: Primeira Série | Disc: MATEMÁTICA - 1ª SÉRIE (8FG.170)
Date: 2026-07-13 | Slot: Primeiro horário | Turma: Segunda Série | Disc: MATEMÁTICA - 2ª SÉRIE (8FG.171)
Date: 2026-07-13 | Slot: Primeiro horário | Turma: Segunda Série | Disc: MATEMÁTICA - 2ª SÉRIE (8FG.171)
Date: 2026-07-13 | Slot: Primeiro horário | Turma: Segunda Série | Disc: MATEMÁTICA - 2ª SÉRIE (8FG.171)
Date: 2026-07-13 | Slot: Primeiro horário | Turma: Terceira Série | Disc: MATEMÁTICA - 3ª SÉRIE (8FG.172)
Date: 2026-07-13 | Slot: Primeiro horário | Turma: Terceira Série | Disc: MATEMÁTICA - 3ª SÉRIE (8FG.172)
Date: 2026-07-13 | Slot: Primeiro horário | Turma: Terceira Série | Disc: MATEMÁTICA - 3ª SÉRIE (8FG.172)
Date: 2026-07-13 | Slot: Segundo horário | Turma: Primeira Série | Disc: GEOGRAFIA - 1ª SÉRIE (8FG.181)
Date: 2026-07-13 | Slot: Segundo horário | Turma: Primeira Série | Disc: GEOGRAFIA - 1ª SÉRIE (8FG.181)
Date: 2026-07-13 | Slot: Segundo horário | Turma: Primeira Série | Disc: GEOGRAFIA - 1ª SÉRIE (8FG.181)
Date: 2026-07-13 | Slot: Segundo horário | Turma: Segunda Série | Disc: GEOGRAFIA - 2ª SÉRIE (8FG.182)
Date: 2026-07-13 | Slot: Segundo horário | Turma: Segunda Série | Disc: GEOGRAFIA - 2ª SÉRIE (8FG.182)
Date: 2026-07-13 | Slot: Segundo horário | Turma: Segunda Série | Disc: GEOGRAFIA - 2ª SÉRIE (8FG.182)
Date: 2026-07-14 | Slot: Primeiro horário | Turma: Primeira Série | Disc: LÍNGUA PORTUGUESA - 1ª SÉRIE (8FG.164)
Date: 2026-07-14 | Slot: Primeiro horário | Turma: Primeira Série | Disc: LÍNGUA PORTUGUESA - 1ª SÉRIE (8FG.164)
Date: 2026-07-14 | Slot: Primeiro horário | Turma: Primeira Série | Disc: LÍNGUA PORTUGUESA - 1ª SÉRIE (8FG.164)
Date: 2026-07-14 | Slot: Primeiro horário | Turma: Segunda Série | Disc: LÍNGUA PORTUGUESA - 2ª SÉRIE (8FG.165)
Date: 2026-07-14 | Slot: Primeiro horário | Turma: Segunda Série | Disc: LÍNGUA PORTUGUESA - 2ª SÉRIE (8FG.165)
Date: 2026-07-14 | Slot: Primeiro horário | Turma: Segunda Série | Disc: LÍNGUA PORTUGUESA - 2ª SÉRIE (8FG.165)
Date: 2026-07-14 | Slot: Primeiro horário | Turma: Terceira Série | Disc: LÍNGUA PORTUGUESA - 3ª SÉRIE (8FG.166)
Date: 2026-07-14 | Slot: Primeiro horário | Turma: Terceira Série | Disc: LÍNGUA PORTUGUESA - 3ª SÉRIE (8FG.166)
Date: 2026-07-14 | Slot: Primeiro horário | Turma: Terceira Série | Disc: LÍNGUA PORTUGUESA - 3ª SÉRIE (8FG.166)
Date: 2026-07-14 | Slot: Segundo horário | Turma: Primeira Série | Disc: BIOLOGIA - 1ª SÉRIE (8FG.173)
Date: 2026-07-14 | Slot: Segundo horário | Turma: Primeira Série | Disc: BIOLOGIA - 1ª SÉRIE (8FG.173)
Date: 2026-07-14 | Slot: Segundo horário | Turma: Primeira Série | Disc: BIOLOGIA - 1ª SÉRIE (8FG.173)
Date: 2026-07-14 | Slot: Segundo horário | Turma: Segunda Série | Disc: BIOLOGIA - 2ª SÉRIE (8FG.174)
Date: 2026-07-14 | Slot: Segundo horário | Turma: Segunda Série | Disc: BIOLOGIA - 2ª SÉRIE (8FG.174)
Date: 2026-07-14 | Slot: Segundo horário | Turma: Segunda Série | Disc: BIOLOGIA - 2ª SÉRIE (8FG.174)
Date: 2026-07-14 | Slot: Segundo horário | Turma: Terceira Série | Disc: DESENVOLVIMENTO DE SISTEMAS SUPERVISÓRIOS (8MECT.146)
Date: 2026-07-14 | Slot: Segundo horário | Turma: Terceira Série | Disc: SOCIOLOGIA (8FG.188)
Date: 2026-07-14 | Slot: Segundo horário | Turma: Terceira Série | Disc: SOCIOLOGIA (8FG.188)
Date: 2026-07-15 | Slot: Primeiro horário | Turma: Primeira Série | Disc: FÍSICA - 1ª SÉRIE (8FG.175)
Date: 2026-07-15 | Slot: Primeiro horário | Turma: Primeira Série | Disc: FÍSICA - 1ª SÉRIE (8FG.175)
Date: 2026-07-15 | Slot: Primeiro horário | Turma: Primeira Série | Disc: FÍSICA - 1ª SÉRIE (8FG.175)
Date: 2026-07-15 | Slot: Primeiro horário | Turma: Segunda Série | Disc: FÍSICA - 2ª SÉRIE (8FG.176)
Date: 2026-07-15 | Slot: Primeiro horário | Turma: Segunda Série | Disc: FÍSICA - 2ª SÉRIE (8FG.176)
Date: 2026-07-15 | Slot: Primeiro horário | Turma: Segunda Série | Disc: FÍSICA - 2ª SÉRIE (8FG.176)
Date: 2026-07-15 | Slot: Primeiro horário | Turma: Terceira Série | Disc: FÍSICA - 3ª SÉRIE (8FG.177)
Date: 2026-07-15 | Slot: Primeiro horário | Turma: Terceira Série | Disc: FÍSICA - 3ª SÉRIE (8FG.177)
Date: 2026-07-15 | Slot: Primeiro horário | Turma: Terceira Série | Disc: FÍSICA - 3ª SÉRIE (8FG.177)
Date: 2026-07-15 | Slot: Segundo horário | Turma: Primeira Série | Disc: MATERIAIS DE CONSTRUÇÃO I (8EDIF.131)
Date: 2026-07-16 | Slot: Primeiro horário | Turma: Primeira Série | Disc: QUÍMICA - 1ª SÉRIE (8FG.178)
Date: 2026-07-16 | Slot: Primeiro horário | Turma: Primeira Série | Disc: QUÍMICA - 1ª SÉRIE (8FG.178)
Date: 2026-07-16 | Slot: Primeiro horário | Turma: Primeira Série | Disc: QUÍMICA - 1ª SÉRIE (8FG.178)
Date: 2026-07-16 | Slot: Primeiro horário | Turma: Segunda Série | Disc: QUÍMICA - 2ª SÉRIE (8FG.179)
Date: 2026-07-16 | Slot: Primeiro horário | Turma: Segunda Série | Disc: QUÍMICA - 2ª SÉRIE (8FG.179)
Date: 2026-07-16 | Slot: Primeiro horário | Turma: Segunda Série | Disc: QUÍMICA - 2ª SÉRIE (8FG.179)
Date: 2026-07-16 | Slot: Primeiro horário | Turma: Terceira Série | Disc: QUÍMICA - 3ª SÉRIE (8FG.180)
Date: 2026-07-16 | Slot: Primeiro horário | Turma: Terceira Série | Disc: QUÍMICA - 3ª SÉRIE (8FG.180)
Date: 2026-07-16 | Slot: Primeiro horário | Turma: Terceira Série | Disc: QUÍMICA - 3ª SÉRIE (8FG.180)
Date: 2026-07-16 | Slot: Segundo horário | Turma: Primeira Série | Disc: FILOSOFIA - 1ª SÉRIE (8FG.186)
Date: 2026-07-16 | Slot: Segundo horário | Turma: Primeira Série | Disc: FILOSOFIA - 1ª SÉRIE (8FG.186)
Date: 2026-07-16 | Slot: Segundo horário | Turma: Primeira Série | Disc: FILOSOFIA - 1ª SÉRIE (8FG.186)
Date: 2026-07-16 | Slot: Segundo horário | Turma: Segunda Série | Disc: FILOSOFIA - 2ª SÉRIE (8FG.187)
Date: 2026-07-16 | Slot: Segundo horário | Turma: Segunda Série | Disc: FILOSOFIA - 2ª SÉRIE (8FG.187)
Date: 2026-07-16 | Slot: Segundo horário | Turma: Segunda Série | Disc: FILOSOFIA - 2ª SÉRIE (8FG.187)
Date: 2026-07-16 | Slot: Segundo horário | Turma: Terceira Série | Disc: SOCIOLOGIA (8FG.188)
Date: 2026-07-17 | Slot: Primeiro horário | Turma: Primeira Série | Disc: HISTÓRIA - 1ª SÉRIE (8FG.183)
Date: 2026-07-17 | Slot: Primeiro horário | Turma: Primeira Série | Disc: HISTÓRIA - 1ª SÉRIE (8FG.183)
Date: 2026-07-17 | Slot: Primeiro horário | Turma: Primeira Série | Disc: HISTÓRIA - 1ª SÉRIE (8FG.183)
Date: 2026-07-17 | Slot: Primeiro horário | Turma: Segunda Série | Disc: HISTÓRIA - 2ª SÉRIE (8FG.184)
Date: 2026-07-17 | Slot: Primeiro horário | Turma: Segunda Série | Disc: HISTÓRIA - 2ª SÉRIE (8FG.184)
Date: 2026-07-17 | Slot: Primeiro horário | Turma: Segunda Série | Disc: HISTÓRIA - 2ª SÉRIE (8FG.184)
Date: 2026-07-17 | Slot: Primeiro horário | Turma: Terceira Série | Disc: HISTÓRIA - 3ª SÉRIE (8FG.185)
Date: 2026-07-17 | Slot: Primeiro horário | Turma: Terceira Série | Disc: HISTÓRIA - 3ª SÉRIE (8FG.185)
Date: 2026-07-17 | Slot: Primeiro horário | Turma: Terceira Série | Disc: HISTÓRIA - 3ª SÉRIE (8FG.185)
Date: 2026-07-17 | Slot: Segundo horário | Turma: Primeira Série | Disc: TECNOLOGIA DOS MATERIAIS (8MECT.138)
Date: 2026-07-17 | Slot: Segundo horário | Turma: Primeira Série | Disc: TECNOLOGIA DAS CONSTRUÇÕES I (8EDIF.132)
Date: 2026-07-17 | Slot: Segundo horário | Turma: Segunda Série | Disc: SISTEMAS EMBARCADOS (8MECT.144)
